GUID,First Name,Middle,Last Name,Suffix,Professional Title,School,Affiliation
56,Jane,S.,Sillman,MD,Assistant Professor of Medicine,,Harvard Medical School
57,Gerald,W.,Smetana,MD,Associate Professor of Medicine,,Harvard Medical School
58,U.,Shivraj,Sohur,"MD, PhD",Instructor in Neurology,,Harvard Medical School
59,David,J. R.,Steele,MD,Assistant Professor of Medicine,,Harvard Medical School
60,Joji,,Suzuki,MD,Instructor in Psychiatry,,Harvard Medical School
61,James,K.,Takayesu,MD,Assistant Professor of Surgery,,Harvard Medical School
62,George,H.,Theodore,MD,Instructor in Orthopedic Surgery,,Harvard Medical School
63,Nadine,M.,Tung,MD,Associate Professor of Medicine,,Harvard Medical School
64,May,M.,Wakamatsu,MD,"Assistant Professor of Obstetrics, Gynecology and Reproductive Biology",,Harvard Medical School
65,Lisa,,Weissmann,MD,Assistant Professor of Medicine,,Harvard Medical School
66,Ricardo,I.,Wellisch,MD,Instructor in Medicine,,Harvard Medical School
67,Douglas,,Wright,"MD, PhD",Instructor in Medicine,,Harvard Medical School
68,Bertram,,Zarins,MD,Augustus Thorndike Clinical Professor of Orthopaedic Surgery,,Harvard Medical School
69,Andrew,E.,Budson,MD,"Professor of Neurology, Boston University School of Medicine",,Guest Faculty
70,Frank,J.,Domino,MD,"Professor and Family Medicine Clerkship Director, University of Massachusetts Medical School",,Guest Faculty
71,Honor,,MacNaughton,MD,"Assistant Professor, Department of Family Medicine, Tufts University School of Medicine",,Guest Faculty
